instruction,output,url
범부처 통합 연구지원시스템(IRIS)이 구축되면 기존 NTIS는 어떻게 되는지?,"범부처 통합 연구지원시스템(IRIS)은 연구행정시스템으로서, NTIS는 과학기술지식정보 대국민 포털 서비스로 차별성을 가지는 한편, NTIS 정보의 질 제고 및 서비스 강화를 위해 IRIS와 NTIS 간 상호 연계하고, 지속적으로 발전시켜 나갈 예정임",
범부처 통합 연구지원시스템(IRIS) 구축 후 각 부처별 시스템은 어떻게 되는지?,"1. IRIS 구축 대상(연구자정보, 과제지원, 연구비)과 중복되는 부처별 시스템은 모두 연구현장의 혼란을 최소화하기 위해 순차적으로 IRIS로 통합될 예정임
※ (’22년) NRF, KEIT, KAIA, TIPA, IITP → (’23년) KETEP, KHIDI, KIAT 등 15개 전문기관
2. 또한 농식품부 등에서 운영하는 FRIS, 중기부에서 운영하는 SIMS 등과 같이 연구개발정보를 활용한 2차 정보 제공 서비스는 IRIS의 연계 지원 등을 통해 운영에 차질이 발생하지 않도록 지원할 예정임",
통합되는 연구지원시스템(IRIS)에 기존 부처?전문기관에서 운영하던 과제관리시스템의 정보가 자동적으로 승계 되는지?,"e-RND(한국연구재단), iTECH+(한국산업기술평가관리원) 등 기존 부처?전문기관에서 운영하던 과제지원시스템 (PMS)의 데이터는 범부처 통합 연구지원시스템(IRIS)에 이관*시켜, 부처?전문기관의 과제관리 업무담당자, 연구자 모두 연속성있게 업무를 수행할 수 있도록 지원할 계획임",
범부처 통합 연구지원시스템(IRIS) 구축 시 부처?전문기관별 특성과 다양성을 어떻게 반영할 계획인지?,"과제관리 전주기에 걸쳐 표준 업무절차에 따라 통합 연구지원시스템을 구축하는 한편, 부처?전문기관별 특성과 다양성을 고려한 필요 업무 절차*는 개별 모듈화하여 반영하여 구축하고 있음
* 평가(평가위원 추천, 평가단 구성 등), 성과관리(성과 입력?관리 등), 사후관리(기술료 협약?정산 등) 등 사업별 특성 모듈화",
범부처 통합 연구지원시스템(IRIS)를 이용할 수 있는 전문기관은 어떻게 되는지?,"- ?국가연구개발혁신법? 시행령 제49조제1항에서 지정하는 12개 주요 전문기관 뿐만 아니라 제2항에 따라 중앙행정기관에
서 지정하는 전문기관은 모두 IRIS를 활용하여 연구개발과제 관리 업무를 수행할 수 있음",
. 기존 전문기관에 등록했던 연구자 정보를 국가연구자정보시스템(NRI)에 다시 입력해야 하는지?,"1. 2021년 9월까지 20개 전문기관의 홈페이지에서 개인정보 이관 동의를 완료한 연구자에 한하여 연구자 정보를 IRIS로 이관했으며, 이때 연구자는 이관된 정보를 검색한 후 직접 검증하여 국가연구자정보시스템(NRI)에 등록할 수 있음
2. 2021년 10월 이후에는 KRI에 등록된 연구자 중 IRIS로의 정보 이관에 동의한 연구자에 한하여 연구자 정보를 IRIS로 상시 이관하고 있음. 이관된 KRI 정보에 대해서는 별도 NRI 재입력 없이 바로 활용 가능함",
. 범부처 통합 연구지원시스템(IRIS)에서 국가연구자번호는 어떻게 발급 받을 수 있는지?,범부처 통합 연구지원시스템(IRIS)을 통해 회원 가입 후 국가연구자정보시스템(NRI) 1회 접속을 통해 연구자 전환 시 국가연구자번호가 자동으로 발급됨. 기존 과학기술인번호(NTIS) 및 연구자등록번호(KRI) 보유자는 기존 번호 또는 신규 발급된 국가연구자번호 중 사용하기를 희망하는 번호 1개로 통합하여 사용 가능함,
"과기정통부에서 구성하는 연구개발과제 평가위원 후보단은 어디에 구성되며, 부처?전문기관은 어떻게 활용할 수 있는지?","1. 연구개발과제 평가위원 후보단은 평가위원의 부처 간 공동 활용을 위해 과기정통부가 구성하는 평가위원 pool을 의미하며, 국가연구자정보시스템(NRI)에서 관리함
2. 각 부처는 평가위원 후보단에 대한 심의?선정?활용?해촉 등을 수행하며, 과기정통부는 부처?전문기관의 의견을 반영하여 평가위원 후보단을 관리함
3. 각 부처?전문기관은 통합 과제지원시스템을 통한 연구개발과제 평가단 구성 시 언제든지 본 평가위원 후보단을 활용하여 구성할 수 있음",
비대면 접촉을 지원하는 온라인 화상평가시스템 지원 계획이 있는지?,온라인평가뿐만 아니라 화상회의도 지원할 수 있는 화상평가시스템을 구축하여 8월부터 시범서비스를 제공할 예정임,
연구지원기준은 반드시 지켜야 하나?,"연구지원기준은 권고사항으로 의무규정은 아닙니다. 다만, 대학?과기정출연?특정연 및 과기정통부장관이 연구지원 체계를 갖춰야 할 필요가 있다고 인정하는 연구개발기관 등에 대하여는 과기정통부에서 연구지원체계평가 시 준수정도를 점검하여 평가할 예정임",
연구지원기준은 모든 기관에 적용되나?,"시행령 제51조에 의해 대학?과기정출연?특정연 등 비영리 연구개발기관이 적용대상이며, 다만 연구지원체계평가는 그 범위를 매우 한정하여 적용할 예정임",
연구지원체계평가와 기존의 연구활동지원역량평가 간 차이점은?,"연구개발기관이 연구자의 연구개발과제 수행과 연구개발성과 창출?활용을 체계적?전문적으로 지원할 수 있도록 역량을 제고한다는 점에서 평가의 목적은 동일합니다. 다만, 연구지원체계평가에서는 연구활동지원역량평가에 비해 연구개발성과 관리에 관한 지표를 강화하는 방안을 검토 중임",
연구지원체계평가 최우수기관의 경우 연구보고서 제출로 정산을 갈음할 수 있도록 하고 있는데 구체적인 적용 기준은?,"(적용기간) ’22년도 평가 기관의 경우 연구지원체계평가 결과 통보 시점(’22.10.14)부터 차기 평가결과 통보 전까지임
(적용대상과제) ’22.10.14일부터 사용실적보고서가 제출된 과제부터 적용. 다만, 10.14일 전에 사용실적보고서가 제출된 과제는 10.14 이전 평가등급에 따라 적용
※ 사용실적보고서 제출 시점의 평가등급이 적용
※ (근거) 「국가연구개발 혁신법 시행령」제26조제3항제2호",
"연구지원체계평가(구 연구활동지원역량평가) 지표 중 연구시설?장비비의 ‘단가’와 연구재료비의 ‘총액’은 공급가액인지, 공급가액+부가가치세인지?",중앙구매체계 운영과 관련된 사항에서 연구시설?장비비의 기준단가 및 연구재료비의 총액 모두 공급가액+부가가치세를 의미함,
"전문기관은 대부분 기획재정부에서 하는 공공기관 경영평가를 받고 있는데, 전문기관 지정?운영 실태조사와 무엇이 다른지?","공공기관 경영평가는 경영효율성 및 대국민 서비스 개선을 목적으로 하는 성과(output) 중심의 평가이고, 실태조사는 R&D사업 대행기관으로서의 전문성과 국가 R&D사업의 효율적 추진을 위한 추진과정(process) 중심 현황 조사이며 바람직한 모습(대안) 제시?유도를 목적으로 하고 있어, 차별성이 있음",
타 부처에서 지정된 전문기관을 통해 국가R&D사업을 추진하고자 할 경우에도 전문기관 지정절차가 필요한지?,전문기관의 지정 주체는 중앙행정기관의 장이므로 R&D사업 추진을 위해서는 별도의 지정절차가 필요함,
혁신법 시행령에는 12개 전문기관이 명시되어 있는데 명시되지 않은 전문기관을 통해서도 R&D사업을 추진할 수 있는지?,"혁신법 시행령 제49조제1항에 명시된 12개 전문기관은 국가연구개발사업의 기획?관리?평가 등을 하는 주요 R&D부처의 대표적인 전문기관이며, 타 기관도 시행령에서 정한 최소요건(1인 이상 전문인력, 해당분야 전문성을 갖춘 기관)을 충족할 경우에 부처에서 지정 후 전문기관으로서 활용 가능함",
국가연구개발혁신법이란?,"국가연구개발혁신법은 국가연구개발사업의 추진 체제를 혁신하고 자율적이고 책임 있는 연구환경을 조성함으로써
국가혁신역량을 제고하고 국민경제의 발전과 국민의 삶의 질 향상에 이바지함을 목적으로 한다.",
국가연구개발혁신신법의 다른 법률과의 관계는?,"1. 혁신법은 모든 국가연구개발사업에 적용되는 것이 원칙이며, 다른 법률에 우선하여 적용함
2. 다만 다른 법률에 따라 직접 설립된 기관의 기본사업은 그 특성에 맞게 추진될 수 있도록 혁신법을 예외 적용하도록 규정",
국가연구개발사업은 무엇을 뜻하나요?,국가연구개발사업은 중앙행정기관이 법령에 근거하여 연구개발을 위하여 예산 또는 기금을 지원하는 사업을 말한다.,
연구개발과제가 무슨 뜻인가요?,연구개발과제는 국가연구개발사업을 추진하기 위하여 소관 중앙행정기관의 장이 정하는 과제를 말한다.,
연구개발기관은 무엇인가요?,"연구개발기관은 다음 각 목의 기관?단체 중 국가연구개발사업을 수행하는 기관?단체를 말한다.
1. 가. 국가 또는 지방자치단체가 직접 설치하여 운영하는 연구기관
2. 「고등교육법」 제2조에 따른 학교(이하 “대학”이라 한다)
3. 「정부출연연구기관 등의 설립?운영 및 육성에 관한 법률」 제2조에 따른 정부출연연구기관
4. 「과학기술분야 정부출연연구기관 등의 설립?운영 및 육성에 관한 법률」 제2조에 따른 과학기술분야 정부출연연구기관
5. 「지방자치단체출연 연구원의 설립 및 운영에 관한 법률」 제2조에 따른 지방자치단체출연 연구원
6. 「특정연구기관 육성법」 제2조에 따른 특정연구기관
7. 「상법」 제169조에 따른 회사
8. 그 밖에 대통령령으로 정하는 기관?단체",
전문기관은 무엇인가요?,전문기관은 중앙행정기관의 국가연구개발사업의 추진을 위하여 업무의 전부 또는 일부를 대행하는 기관으로서 지정된 기관을 말한다.,
연구개발성과는 무엇인가요?,"연구개발성과란, 연구개발과제의 수행 과정에서 또는 그 결과로 인하여 창출 또는 파생되는 제품, 시설?장비, 지식재산권 등 대통령령으로 정하는 유형?무형의 성과를 말한다.",
연구개발정보는 무엇인가요?,"1. 국가연구개발사업?연구개발과제 등 연구개발 수행에 관한 정보
2. 연구개발기관?연구자 등 연구개발을 수행하는 주체에 관한 정보
3. 연구개발성과의 명칭?종류?소유기관 등 연구개발성과에 관한 정보
4. 그 밖에 국가연구개발사업의 추진에 필요한 정보로서 대통령령으로 정하는 정보",
연구지원은 무엇인가요?,"연구지원이란, 연구개발기관이 소속 연구자가 연구개발에 전념할 수 있도록 연구개발과제의 신청?수행 및 성과 활용 등에 필요한 인력, 시설?장비, 전산시스템 등을 직접적?간접적으로 지원하는 것을 말한다.",
국가연구개발활동은 무엇인가요?,"국가연구개발사업의 수행, 연구지원 및 국가연구개발사업과 관련한 다음 각 목의 행위를 말한다.
1. 국가연구개발사업의 추진을 위한 연구개발 관련 수요조사에 수요를 제출하는 행위
2. 국가연구개발사업의 추진 및 연구개발과제의 발굴을 위한 사전 기획에 참여하는 행위
3. 국가연구개발사업의 연구개발과제 및 연구개발기관을 선정하기 위한 공모에 연구개발과제의 수행을 신청하는 행위
4. 연구개발과제의 원활한 수행 및 관리를 위하여 소관 중앙행정기관의 장이 구성하여 운영하는 평가단, 위원회, 심의위원회 등에 참여하거나 활동하는 행위",
기술료는 무엇인가요?,"기술료란, 연구개발성과를 실시하는 권리를 획득한 대가로 실시권자가 제17조제1항에 따른 연구개발성과소유기관에 지급하는 금액을 말한다.",
연구개발성과를 실시한다는 것이 무슨 뜻인가요?,"연구개발성과를 사용,양도,대여 또는 수출하거나 연구개발성과의 양도 또는 대여의 청약을 하는 행위를 말한다.",
연구개발기관이 될 수 있는 기관은?,"국가연구개발혁신법에서 “대통령령으로 정하는 기관,단체”란 다음 각 호의 단체를 말한다.
1. 「중소기업기본법」 제2조에 따른 중소기업
2. 「민법」 또는 다른 법률에 따라 설립된 비영리법인",
연구개발기관의 종류는 뭐가 있나요?,"1. 주관연구개발기관: 연구개발과제를 주관하여 수행하는 연구개발기관
2. 공동연구개발기관: 주관연구개발기관과의 연구개발과제협약에 따라 연구개발과제를 분담하여 공동으로 수행하는 연구개발기관
3. 위탁연구개발기관: 주관연구개발기관으로부터 연구개발과제의 일부(특수한 전문지식 또는 기술이 필요한 부분으로 한정한다)의 위탁을 그 소관 중앙행정기관의 장의 승인을 받아 수행하는 연구개발기관",
주관연구개발기관은 무엇인가요?,주관연구개발기관은 연구개발과제를 주관하여 수행하는 연구개발기관을 말합니다.,
공동연구개발기관은 무엇인가요?,공동연구개발기관은 주관연구개발기관과의 연구개발과제협약에 따라 연구개발과제를 분담하여 공동으로 수행하는 연구개발기관을 말합니다.,
위탁연구개발기관은 무엇인가요?,위탁연구개발기관은 주관연구개발기관으로부터 연구개발과제의 일부(특수한 전문지식 또는 기술이 필요한 부분으로 한정한다)의 위탁을 그 소관 중앙행정기관의 장의 승인을 받아 수행하는 연구개발기관을 말합니다.,
연구개발성과란 무엇인가요?,"제품, 시설, 장비, 논문, 특허 등 지식재산권 , 연차보고서, 단계보고서, 최종보고서 또는 성과활용보고서의 원문, 연구개발과제에서 창출 또는 파생된 기술의 요약정보, 생명자원, 소프트웨어, 화합물(化合物), 신품종, 표준, 그 밖에 위 성과에 준하는 유형?무형의 성과 등을 의미합니다.",
혁신법은 모든 국가연구개발사업에 대해 적용하나요?,"실무적으로 국가연구개발사업은 예산 편성 시 ‘연구개발사업(R&D)’으로 분류되어 과학기술정보통신부(주요R&D) 또는 기획재정부(일반R&D) 심의를 받는 세부사업을 의미하며, 예산 중 일부를 연구개발 예산으로 분류하는 사업의 경우 내역사업 또는 세부 내용에서 연구개발내용이 구분되지 않으면 사업 전체에 대해 동 법을 적용",
혁신법은 어떤 사업에 적용할 수 없나요?,"지방자치단체 자체 재원으로 독자적으로 지원하는 연구개발사업은 국가연구개발사업에 해당되지 않으나, 국비에 매칭하여 지원하는 사업의 경우 혁신법 적용 여부는 사업 추진 방식에 따라 개별적으로 검토할 필요",
농림축산식품연구개발사업이란?,농림축산식품부장관이 농림축산식품 과학기술분야의 연구개발을 위해 그 비용의 전부 또는 일부를 출연하거나 지원하는 사업,
연구관리전문기관이란?,"중앙행정기관의 장이 소관 연구개발사업에 대한 기획ㆍ관리ㆍ평가 및 활용 등의 업무를 지원할 수 있도록 지정한 기관으로, 농림축산식품부로부터 위탁받아 추진하는 농림축산식품 연구개발사업의 경우 ?농림식품기술기획평가원?이 이에 해당됨",
주관연구개발기관이란?,연구개발과제를 주관하여 수행하는 기관,
공동연구개발기관이란?,협약으로 정하는 바에 따라 연구개발과제를 주관연구기관과 분담하여 공동으로 추진하는 기관,
위탁연구개발기관이란?,주관연구기관으로부터 연구개발과제의 일부를 위탁받아 수행하는 기관,
연구책임자란?,해당 연구개발과제의 연구를 총괄하는 책임자(주관연구책임자),
참여기업이란?,연구개발성과를 실시할 목적으로 해당 연구개발과제에 소요되는 연구개발비의 일부를 부담하는 기업,
연구사업단이란?,"연구개발사업의 특성과 연구개발과제의 성격, 규모 또는 기술발전단계 등을 고려하여 독립된 형태로 운영하는 연구조직",
연구센터란?,"연구개발사업의 특성과 연구개발과제의 성격, 규모 또는 기술발전 단계 등을 고려하여 독립된 형태로 운영하는 주관연구기관 중심의 연구조직",
총 연구기간이란?,협약에서 정한 최초 연구개발 시작일로부터 최종 연구개발 종료일까지의 기간,
단계별 연구기간이란?,협약에서 정한 단계별 연구개발의 시작일로부터 종료일까지의 기간,
회계연도란?,"예산의 세입과 세출을 구분하고 정리하기 위한 기간을 말하며, 국가재정법 제2조에 의거 정부와 지방자치단체의 회계연도를 매년 1월1일에서 시작해 동년 12월 31일에 종료하도록 규정",
실시란?,"연구개발성과를 사용(연구개발성과를 사용하여 생산하는 경우를 포함한다), 양도(기술이전을 포함한다), 대여 또는 수출하는 것",
기술료란?,"연구개발성과를 실시하는 권리(이하 “실시권‘이라 한다)를 획득한 대가로 실시권자가 국가, 전문기관 또는 연구개발성과를 소유한 기관에 지급하는 금액",
기술기여도란?,수익(매출액) 기준에 따라 연구개발결과물이 활용된 제품의 비율과 전체 연구개발활동 중 정부 R&D 비중 등을 고려하여 산정,
출연금이란?,연구개발사업의 목적을 달성하기 위해 국가 등이 반대급부 없이 예산이나 기금 등에서 연구수행기관에 지급하는 연구경비,
기술실시계약이란?,"연구개발성과를 소유한 자와 연구개발성과를 실시하려는 자가 실시권의 내용, 기술료 및 기술료 납부방법 등에 관하여 체결하는 계약",
기초연구단계란?,특수한 응용 또는 사업을 직접적 목표로 하지 아니하고 현상 및 관찰 가능한 사실에 대한 새로운 지식을 얻기 위해 수행하는 이론적 또는 실험적 연구단계,
응용연구단계란?,기초연구단계에서 얻어진 지식을 이용하여 주로 실용적인 목적으로 새로운 과학적 지식을 얻기 위해 수행하는 독창적인 연구단계,
개발연구단계란?,"기초연구단계, 응용연구단계 및 실제 경험에서 얻어진 지식을 이용하여 새로운 제품, 장치 및 서비스를 생산하거나 이미 생산되거나 설치된 것을 실질적으로 개선하기 위해 수행하는 체계적 연구단계",
추적조사란?,연구개발성과의 활용계획이 제대로 이행되고 있는지를 연구개발성과 활용보고서 등을 통하여 조사ㆍ분석하는 것,
정산이란?,"연구개발비 사용실적에 대해 농림축산식품부장관, 전문기관, 위탁정산기관 또는 연구기관의 장이 실시하는 일체의 회계검사 행위",
정산금액이란?,연구비 집행잔액과 연구비 집행금액 중 국가연구개발사업 연구개발비 사용기준과 농림축산식품 연구개발사업 운영규정에서 정한 기준에 따라 집행되지 않아 정산을 통해 반납하는 금액을 합산한 금액,
범부처통합연구지원시스템(IRIS)이란?,부처별로 운영하던 과제관리시스템을 통합하여 협약과제 정보 입력 및 공고ㆍ선정ㆍ평가ㆍ성과관리 등 전반적인 과제를 관리하는 시스템(www.iris.go.kr),
연구비통합관리시스템(통합Ezbaro)이란?,부처별로 운영하던 연구비관리시스템을 통합하여 연구개발비 사용내역ㆍ발생이자 관리 및 사용실적 보고 등 연구개발비 종합관리가 가능하도록 구축된 시스템,
교수 정년퇴임 후 중소기업 재직중인 자도 연구책임자로 참여 할 수 있는 자격이 되나요?,"연구자가 소속기관에 재직 중이며, 연구능력을 갖춘 자로서 가능합니다. 다만 연구 착수부터 연구가 종료 이후 추적조사까지 국가연구개발사업을 관리하므로 관련 일정에 지장을 주지 않는다면 가능합니다.",
개인사업자는 연구개발기관에 해당되나요?,매출액 등의 요건을 충족하는 개인사업자는 중소기업에 포함되므로 연구개발기관에 해당됩니다.(시행령 제2조),
연구성과 목표관리 제도가 운영되면 무엇이 달라지나요?,"연구자는 협약시점에 각 연차별로 달성해야 할 성과목표를 제시하고, 성과가 발생할 경우 “IRIS 시스템-성과등록”에 성과를 입력하면 목표대비 성과도출 현황이 실시간으로 관리됩니다. 또한, 각 연차별 성과목표 대비 실적표는 단계ㆍ최종평가 시 평가위원에게 제공되어 성과목표 달성 결과에 대한 객관적인 평가(정량평가) 자료로 활용됩니다.",
당초 연구개발 성과목표에 대해 수정이 가능한가요?,"협약체결 시 설정한 최종목표 및 연차별 연구개발 성과목표는 단계ㆍ최종평가를 실시할 때 정량적 평가지표로 활용되므로 수정할 수 없습니다. 다만, 단계평가 시 목표성과 조정 의견이 있을 경우 수정이 가능합니다.",
연차보고서에 제시한 성과와 IRIS시스템에 입력한 성과가 상이한 경우 어떻게 처리하나요?,"입력한 성과가 상이한 경우 농기평 과제담당자가 주관연구기관에 수정을 요청하게 되며, 평가 시 수정 요청사항이 반영되지 않았을 경우에는 누락된 성과는 성과로 인정하지 않습니다.",
연구 성과물의 제출방법은 어떻게 되나요?,"논문, 특허 등 연구개발성과는 사사표기 후 “IRIS 시스템-성과등록”에 입력하여야 하며, 국가연구개발혁신법 시행령 제33조에 따라 연구개발성과관리ㆍ유통전담기관에 등록 또는 기탁하여야 합니다.",
"공동연구책임자가 안식년으로 3개월 이상 연구수행이 불가능할 경우 협약변경 승인을
받아야하나요?","연구책임자가 연구수행이 불가능한 경우 협약변경 승인을 받아야하며, 주관기관은 협약변경 사유 발생일로부터 15일 이내에 협약변경 신청서와 관련 서류(포기서, 동의서, 변경 후 연구책임자의 인적사항 등)를 농기평에 제출하여야 합니다. 농기평에서는 변경하고자 하는 연구책임자의 연구업적 및 경력 등을 검토하고, 연구수행이 가능한지 판단하여 변경 승인 여부를 15일 이내에 통보합니다.",
참여연구원 변경으로 인해 인건비가 다를 경우 어떻게 처리하면 되나요?,"해당 연구기관의 내부 승인으로 참여연구원 및 인건비 계상율을 조정하시면 됩니다.
참여연구원의 인건비 계상율은 기타변경사항에 속하며, 해당 연구기관의 장이 검토ㆍ승인하여 변경하시면 되고, 연구원 변경에 따라 비목별 연구비 조정 등이 필요 할 경우에는 협약당시의 운영규정 및 관리기준을 참고하시면 됩니다. 그리고, 참여연구원이 변경된 경우 기존에는 농기평에 공문으로 보고해야 했으나 앞으로는 IRIS 시스템에서 협약변경(통보성)만 하시면 됩니다.",
연구책임자 변경 승인 요청을 했을 경우 연구비 사용이 가능한가요?,"연구책임자 부재 시 인건비를 제외한 연구비는 사용할 수 없으며, 연구책임자 변경 승인을 받은 후 연구비를 사용하여야 합니다.",
협약변경 중 ‘기타 변경사항’은 해당연구기관의 내부 승인 후 농기평에 보고해야하나요?,"협약변경과 관련된 사항 중 ‘기타 변경사항’은 30일 이내에 주관연구기관을 통해 공문으로 보고 하시면 됩니다. 다만, 참여연구원 변경의 경우 IRIS 시스템에서 협약변경(통보성)만 하시면 됩니다.",
연구기관의 기관명 변경 시 협약변경 승인 사항인가요?,"연구기관의 사업자등록번호가 동일한 경우의 기관명 변경은 보고사항이며, 연구기관이 통폐합으로 기관명이 변경되는 경우에는 농기평 승인사항입니다.",
공동연구책임자인 경우 3책 5공 중 “책”에 해당되나요?,공동연구개발기관 책임자인 경우 “책”에 해당되지 않습니다. 주관연구개발과제의 책임자를 제외한 경우는 참여연구원으로 산정합니다.,
진도점검 조사표는 어떻게 제출하나요?,연구중반기(당해연도 연구수행 후 5~6개월 시점)에 자체진도점검을 실시하고 자체진도점검 조사표는 주관연구기관에서 총괄적으로 내용 취합 후 작성하여 ‘IRIS시스템→과제평가→ 수행보고자료제출’에 업로드하면 됩니다.,
진도점검 개최 시 연구에 참여하지 않은 외부전문가가 꼭 참석해야 하나요?,주관연구책임자가 연구과제에 대한 진도를 점검하기 위한 사항이므로 외부전문가 필수적으로 참석해야하는 사항은 아닙니다. 다만 필요 시 참석 가능합니다.,
세부과제별로 연차보고서를 작성하나요?,주관연구기관에서 각 세부과제별 내용을 취합하여 보고서를 작성한 후 제출합니다.,
연차보고서 작성할 때 공동연구기관의 연구비를 조정해도 되나요?,최초 협약 당시 주관ㆍ공동연구개발기관의 연구내용 및 연구비를 책정하고 협약하였으므로 연구비를 조정해서 작성할 수 없습니다. 연구비를 변경 할 경우에는 협약변경을 통해 변경할 수 있습니다.,
소속기관으로부터 급여를 지급받는 외부연구원의 경우 인건비 현금 지급이 가능한가요?,소속이 있는 외부연구원의 경우 인건비는 미지급 또는 현물로 계상하여 참여할 수 있으며 현금으로 인건비를 지급할 수 없습니다. 외부연구원의 인건비를 현금 지급할 경우 ‘건강보험자격득실확인서’ 등의 서류를 확인하여 현재 소속 되어있는 기관이 없음을 확인한 후 인건비를 현금으로 지급 할 수 있습니다.,
학생인건비 통합관리기관이 아닐 경우에도 학생인건비로 계상해야 하나요?,"학생인건비 또는 인건비로 계상이 가능하며, 학생인건비 통합관리기관이 아닐 경우에는 다른 연구개발비 항목과 동일하게 정산을 하면 됩니다.",
연구책임자가 100% 연구수당을 받는 것이 가능한가요?,"연구수당은 연구책임자, 참여연구원의 보상금 및 장려금 지급을 위한 수당이며, 연구기간 중 참여연구원을 대상으로 평가를 실시하여 그 결과에 따라 연구수당을 참여연구원별로 차등지급해야 합니다. 다만, 연구원이 연구책임자 1인일 경우에는 단독으로 지급 가능합니다.",
"인건비가 변경된 경우, 연구수당도 증액이 가능한가요?","수정인건비가 당초 연구개발계획서와 다르게 변경된 경우, 변경된 수정인건비의 20% 범위 내에서 연구수당을 변경하여 계상하여야 하며, 단, 단계 시작시점에 계상한 금액보다 증액은 불가합니다.",
연구원 직급별로 책정기준이 정해져있나요?,연구원 직급별로 책정기준이 정해져있지 않습니다. 다만 연구기관이 자체적으로 기여도 평가를 실시하여 합리적으로 연구수당을 계상해야 합니다.,
영리기관에서 연구시설ㆍ장비로 현물을 계상하는 경우 계상 기준이 무엇인가요?,"영리기관에서 연구시설ㆍ장비에 대하여 현물로 부담하는 경우 연구시설ㆍ장비 구입ㆍ설치비를 구입가의 20% 내에서 현물로 계상하여야합니다. 이 경우 연구시설ㆍ장비 구입 완료일이 연구개발과제 시작일의 5년 이내이어야 하고, 영리기관의 자체규정에 따라계상된 내용연수 만료일이 현물로 계상한 연도의 말일 이후여야 합니다.",
출장비 등 여비를 계상하는 경우 계상 기준이 무엇인가요?,"참여연구원이 공무원인 경우는 공무원 여비 규정에 따라 계상하고, 공무원이 아닌 경우에는 연구개발기관의 자체 규정에 따라 계상하여야 합니다.",
연구과제 관련 학회 참가시 연회비도 계상이 가능한가요?,"연구개발과제와 관련된 학회의 경우 연회비(1년) 대상 기간이 연구개발기간을 포함한 전ㆍ후 기간에 대해서도 연회비를 계상할 수 있습니다. 다만, 연회비 사용일은 연구개발기간 내에 포함되어야 합니다.",
위탁연구개발비를 전액 감액(위탁연구과제 취소)하는 경우 별도의 승인이 필요없나요?,"연구개발비 사용계획 변경 시 승인받아야 하는 사유는 별도로 정하고 있으며, 여기에 ‘위탁연구개발비 감액’은 포함되어있지 않습니다. 다만, 위탁연구개발비 전액 취소의 경우 연구개발과제의 구성이 변경되는 것으로 판단되므로 협약의 변경 사유가 됩니다.",
위탁연구기관으로 기업이 참여 할 경우 매칭펀드를 부담해야 하나요?,"위탁연구기관인 기업이 연구개발결과물에 대한 우선 실시권을 가지기 위해서는 기업부담금을 부담하고 참여기업의 권리를 가질 수 있으나, 우선 실시권을 갖지 않고 위탁연구수행만이 목적이라면 위탁연구기관인 기업이 반드시 기업부담금의 의무를 가지는 것은 아닙니다.",
정부지원연구개발비가 1억인 중소기업인 경우 기관부담연구개발비는 25%인 2천 5백만원을부담하면 되나요?,"아닙니다. 기관부담연구개발비는 정부지원연구개발비 기준이 아닌 연구개발비 기준으로 산정합니다.
ex) 정부지원연구개발비가 100,000천원인 경우 기관부담연구개발비 25,000천원일 때 연구개발비는 125,000천원이고 기관부담연구개발비 비율은 25,000/125,000=20%가 되어 기준에 미달 됩니다. 따라서 기준에 부합한 기관부담연구개발비는 33,333천원(이상)이며, 이 때 연구개발비는 133,333천원(이상)이 됩니다. (33,334/133,334=25%)",
"총 연구개발비가 135,000천원이고, 고시비율이 29%인 경우 간접비는 39,150천원으로 계상하면 되나요?","간접비는 직접비(미지급 인건비, 현물, 위탁연구개발비 제외)에 고시된 간접비 비율을 곱한 금액이내에서 계상해야 합니다.
ex) 총 연구개발비 135,000천원 중 직접비 80,233천원, 현물 31,500천원, 간접비 23,267천원으로 계상할 때 23,267/80,233=28.9%로 기준에 부합하게 됩니다.",
연구기관 통폐합으로 인한 간접비율은 어떻게 적용해야 하나요?,간접비율이 따로 고시되었던 두 법인이 통합되어 하나의 법인이 된 경우에는 두 법인의 간접비율 중 유리한 간접비율을 적용하면 됩니다.,
"대학의 ‘우수논문 게재 인센티브, 과제 유치(수주) 장려금 등’ 각종 인센티브도 ‘연구개발능률성과급’의 범주에 포함되나요?","연구개발능률성과급은 반드시 성과평가를 실시한 후 지급하도록 의무화하고 있으며, 연구기관의 자율성을 부여하기 위하여 구체적인 성과평가 기준은 연구기관에 위임하고 있습니다. 연구성과를 기반으로 하지 않고 단순히 연구과제를 수주하였다는 사유로 연구개발능률성과급을 지급하는 것은 부당집행으로 인정됩니다.",
연차보고서를 제출했는데 연구비 지급이 늦어지는 이유는 무엇인가요?,"연차보고서 제출 후 ‘IRIS’ 상에 차년도 협약변경이 완료되지 않은 경우 연구비 지급이 지연되오니, 과제담당자와 검토가 완료된 후 입력을 완료해 주시기 바랍니다.",
단계평가 결과에 대한 이의신청 절차는 어떻게 되나요?,주관연구개발기관의 장은 평가결과를 통보받은 날로부터 10일 이내에 농기평으로 이의를 신청하여야 합니다. 이의신청 접수 시 단계발표평가를 실시하고 그 결과를 주관연구개발기관의 장에게 통보합니다.,
최종평가 시 어떤 내용으로 발표를 준비해야 하나요?,"최종평가의 경우 연구계획서상의 연구목표 대비 연구수행 달성도, 연구수행 결과 내용과 도출된 연구성과의 가치, 사회적 파급효과 등 활용방안에 주안점을 두고 최종평가를 준비하시면 됩니다.",
